<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.10.29	00:00:00	81.620	81.810	81.340	81.370	411	0	70
2009.10.29	01:00:00	81.380	81.510	80.880	81.160	860	0	70
2009.10.29	02:00:00	81.150	81.420	81.080	81.090	539	0	70
2009.10.29	03:00:00	81.100	81.290	81.050	81.100	542	0	70
2009.10.29	04:00:00	81.110	81.150	80.870	81.010	555	0	70
2009.10.29	05:00:00	81.020	81.130	80.990	81.090	382	0	70
2009.10.29	06:00:00	81.080	81.290	81.070	81.290	468	0	70
2009.10.29	07:00:00	81.300	81.310	81.060	81.200	421	0	70
2009.10.29	08:00:00	81.210	81.740	81.190	81.640	732	0	70
2009.10.29	09:00:00	81.650	82.020	81.450	81.900	883	0	70
2009.10.29	10:00:00	81.890	82.150	81.860	82.130	662	0	70
2009.10.29	11:00:00	82.140	82.150	82.020	82.040	519	0	70
2009.10.29	12:00:00	82.030	82.060	81.920	81.990	514	0	70
2009.10.29	13:00:00	82.000	82.980	81.870	82.960	961	0	70
2009.10.29	14:00:00	82.950	83.180	82.670	82.880	893	0	70
2009.10.29	15:00:00	82.890	83.440	82.880	83.390	836	0	70
2009.10.29	16:00:00	83.400	83.690	83.390	83.540	764	0	70
2009.10.29	17:00:00	83.550	83.810	83.530	83.670	641	0	70
2009.10.29	18:00:00	83.680	83.950	83.640	83.920	634	0	70
2009.10.29	19:00:00	83.930	84.010	83.820	83.940	430	0	70
2009.10.29	20:00:00	83.950	83.950	83.700	83.760	456	0	70
2009.10.29	21:00:00	83.750	83.790	83.560	83.610	369	0	70
2009.10.29	22:00:00	83.620	83.790	83.580	83.750	310	0	70
2009.10.29	23:00:00	83.740	83.860	83.730	83.760	305	0	70
2009.10.30	00:00:00	83.767	83.797	83.571	83.673	2086	0	70
2009.10.30	01:00:00	83.668	83.669	83.394	83.521	3511	0	70
2009.10.30	02:00:00	83.520	83.682	83.392	83.638	3140	0	70
2009.10.30	03:00:00	83.637	83.646	83.396	83.472	2923	0	70
2009.10.30	04:00:00	83.471	83.690	83.466	83.672	2490	0	70
2009.10.30	05:00:00	83.671	83.704	83.383	83.451	2474	0	70
2009.10.30	06:00:00	83.452	83.533	83.186	83.225	2383	0	70
2009.10.30	07:00:00	83.227	83.264	82.972	83.112	2778	0	70
2009.10.30	08:00:00	83.113	83.238	82.961	83.144	3254	0	70
2009.10.30	09:00:00	83.146	83.230	82.941	83.143	3503	0	70
2009.10.30	10:00:00	83.141	83.274	83.060	83.184	3613	0	70
2009.10.30	11:00:00	83.185	83.261	83.101	83.233	3441	0	70
2009.10.30	12:00:00	83.231	83.291	83.039	83.132	3472	0	70
2009.10.30	13:00:00	83.131	83.268	82.664	82.683	3534	0	70
2009.10.30	14:00:00	82.684	83.108	82.484	82.655	4538	0	70
2009.10.30	15:00:00	82.653	82.854	82.641	82.772	4214	0	70
2009.10.30	16:00:00	82.771	82.778	81.707	81.762	4775	0	70
2009.10.30	17:00:00	81.763	82.111	81.303	81.346	4476	0	70
2009.10.30	18:00:00	81.345	81.524	80.823	80.886	4089	0	70
2009.10.30	19:00:00	80.882	81.169	80.864	81.007	3315	0	70
2009.10.30	20:00:00	81.000	81.127	80.754	81.012	3410	0	70
2009.10.30	21:00:00	81.007	81.064	80.765	81.042	2634	0	70
2009.10.30	22:00:00	81.041	81.041	81.041	81.041	1	0	70
2009.11.02	00:00:00	80.311	80.623	80.145	80.397	3405	0	56
2009.11.02	01:00:00	80.394	81.205	80.394	81.117	3926	0	53
2009.11.02	02:00:00	81.118	81.138	80.787	80.808	2965	0	50
2009.11.02	03:00:00	80.810	81.085	80.730	80.999	2417	0	53
2009.11.02	04:00:00	80.997	81.462	80.993	81.411	2529	0	50
2009.11.02	05:00:00	81.413	81.564	81.313	81.360	2416	0	48
2009.11.02	06:00:00	81.359	81.475	81.252	81.446	2399	0	32
2009.11.02	07:00:00	81.445	81.568	81.367	81.558	2192	0	35
2009.11.02	08:00:00	81.557	81.565	81.288	81.446	3084	0	33
2009.11.02	09:00:00	81.448	81.964	81.290	81.838	3791	0	31
2009.11.02	10:00:00	81.840	81.863	81.620	81.750	3413	0	30
2009.11.02	11:00:00	81.752	81.843	81.461	81.495	3198	0	30
2009.11.02	12:00:00	81.499	81.500	81.233	81.271	3400	0	30
2009.11.02	13:00:00	81.270	81.502	81.217	81.473	3062	0	30
2009.11.02	14:00:00	81.472	81.575	81.401	81.462	3290	0	30
2009.11.02	15:00:00	81.460	81.676	81.280	81.676	3718	0	30
2009.11.02	16:00:00	81.689	82.634	81.689	82.082	4911	0	33
2009.11.02	17:00:00	82.085	82.359	81.994	82.233	3533	0	33
2009.11.02	18:00:00	82.237	82.276	81.297	81.297	3762	0	34
2009.11.02	19:00:00	81.296	81.478	81.174	81.188	3652	0	33
2009.11.02	20:00:00	81.187	81.538	81.103	81.434	3352	0	53
2009.11.02	21:00:00	81.436	81.689	81.370	81.596	3180	0	53
2009.11.02	22:00:00	81.598	81.646	81.519	81.519	1525	0	50
2009.11.02	23:00:00	81.520	81.756	81.502	81.749	1432	0	53
2009.11.03	00:00:00	81.751	81.848	81.740	81.810	1291	0	50
2009.11.03	01:00:00	81.809	82.155	81.792	82.105	2174	0	50
2009.11.03	02:00:00	82.104	82.104	81.881	82.030	2313	0	50
2009.11.03	03:00:00	82.033	82.058	81.928	81.988	1577	0	50
