<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.10.29	00:00:00	83.950	84.029	83.759	83.810	2005	0	60
2009.10.29	01:00:00	83.809	83.905	83.526	83.663	3705	0	60
2009.10.29	02:00:00	83.682	83.972	83.681	83.747	2887	0	60
2009.10.29	03:00:00	83.746	83.869	83.679	83.694	2798	0	60
2009.10.29	04:00:00	83.695	83.730	83.579	83.710	3088	0	60
2009.10.29	05:00:00	83.708	83.777	83.601	83.647	2339	0	60
2009.10.29	06:00:00	83.662	83.828	83.647	83.827	2846	0	60
2009.10.29	07:00:00	83.831	83.837	83.604	83.785	2475	0	60
2009.10.29	08:00:00	83.785	84.242	83.785	84.204	4017	0	60
2009.10.29	09:00:00	84.208	84.364	84.020	84.214	4317	0	60
2009.10.29	10:00:00	84.210	84.446	84.153	84.268	3692	0	60
2009.10.29	11:00:00	84.267	84.300	84.048	84.143	3357	0	60
2009.10.29	12:00:00	84.137	84.199	84.041	84.080	3718	0	60
2009.10.29	13:00:00	84.081	85.139	84.004	85.068	4655	0	60
2009.10.29	14:00:00	85.070	85.304	84.762	84.893	5360	0	60
2009.10.29	15:00:00	84.895	85.409	84.856	85.170	5012	0	60
2009.10.29	16:00:00	85.169	85.590	85.153	85.381	4935	0	60
2009.10.29	17:00:00	85.383	85.686	85.349	85.460	4373	0	60
2009.10.29	18:00:00	85.463	85.802	85.447	85.739	4175	0	60
2009.10.29	19:00:00	85.740	85.851	85.680	85.821	3379	0	60
2009.10.29	20:00:00	85.806	85.821	85.625	85.681	3093	0	60
2009.10.29	21:00:00	85.681	85.709	85.595	85.670	2748	0	60
2009.10.29	22:00:00	85.671	85.727	85.600	85.690	1406	0	60
2009.10.29	23:00:00	85.684	85.778	85.657	85.736	1768	0	60
2009.10.30	00:00:00	85.734	85.774	85.610	85.667	2235	0	60
2009.10.30	01:00:00	85.665	85.675	85.409	85.497	3142	0	60
2009.10.30	02:00:00	85.499	85.688	85.407	85.660	3085	0	60
2009.10.30	03:00:00	85.658	85.669	85.423	85.468	2579	0	60
2009.10.30	04:00:00	85.469	85.624	85.460	85.561	2282	0	60
2009.10.30	05:00:00	85.559	85.561	85.330	85.388	2556	0	60
2009.10.30	06:00:00	85.402	85.459	85.188	85.235	2559	0	60
2009.10.30	07:00:00	85.235	85.273	85.059	85.186	2983	0	60
2009.10.30	08:00:00	85.187	85.312	85.106	85.208	3476	0	60
2009.10.30	09:00:00	85.208	85.295	85.007	85.178	3820	0	60
2009.10.30	10:00:00	85.181	85.370	85.119	85.260	3940	0	60
2009.10.30	11:00:00	85.264	85.264	85.000	85.141	3706	0	60
2009.10.30	12:00:00	85.140	85.276	85.011	85.098	4004	0	60
2009.10.30	13:00:00	85.097	85.176	84.255	84.298	4677	0	60
2009.10.30	14:00:00	84.296	84.531	84.151	84.176	5048	0	60
2009.10.30	15:00:00	84.174	84.424	84.173	84.401	4959	0	60
2009.10.30	16:00:00	84.402	84.421	83.562	84.012	5388	0	60
2009.10.30	17:00:00	84.014	84.100	83.560	83.607	5291	0	60
2009.10.30	18:00:00	83.606	83.700	83.063	83.218	4555	0	60
2009.10.30	19:00:00	83.220	83.519	83.126	83.311	4063	0	60
2009.10.30	20:00:00	83.296	83.362	83.170	83.177	4059	0	60
2009.10.30	21:00:00	83.176	83.180	82.928	83.005	2784	0	60
2009.10.30	22:00:00	83.006	83.008	83.006	83.008	4	0	60
2009.11.02	00:00:00	82.613	82.852	82.482	82.794	3504	0	60
2009.11.02	01:00:00	82.790	83.292	82.784	83.233	4140	0	60
2009.11.02	02:00:00	83.231	83.274	82.976	83.012	3275	0	60
2009.11.02	03:00:00	83.014	83.250	82.924	83.160	2861	0	60
2009.11.02	04:00:00	83.162	83.562	83.144	83.477	3240	0	60
2009.11.02	05:00:00	83.478	83.634	83.428	83.456	2791	0	60
2009.11.02	06:00:00	83.468	83.555	83.326	83.509	2331	0	60
2009.11.02	07:00:00	83.510	83.569	83.387	83.524	2436	0	60
