<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.10.29	00:00:00	133.540	133.730	133.260	133.330	432	0	30
2009.10.29	01:00:00	133.340	133.480	132.810	133.080	977	0	30
2009.10.29	02:00:00	133.090	133.320	132.940	132.950	664	0	30
2009.10.29	03:00:00	132.960	133.160	132.880	132.910	819	0	30
2009.10.29	04:00:00	132.920	132.970	132.800	132.970	729	0	30
2009.10.29	05:00:00	132.980	133.060	132.870	132.900	542	0	30
2009.10.29	06:00:00	132.910	133.170	132.880	133.150	639	0	30
2009.10.29	07:00:00	133.160	133.160	132.840	133.040	510	0	30
2009.10.29	08:00:00	133.050	133.680	133.050	133.580	794	0	30
2009.10.29	09:00:00	133.590	133.830	133.380	133.710	883	0	30
2009.10.29	10:00:00	133.700	133.930	133.680	133.900	747	0	30
2009.10.29	11:00:00	133.910	133.910	133.740	133.740	637	0	30
2009.10.29	12:00:00	133.730	133.790	133.560	133.670	693	0	30
2009.10.29	13:00:00	133.680	135.020	133.540	134.990	1065	0	30
2009.10.29	14:00:00	135.000	135.320	134.730	134.900	1043	0	30
2009.10.29	15:00:00	134.910	135.170	134.880	135.090	1076	0	30
2009.10.29	16:00:00	135.080	135.570	135.080	135.440	958	0	30
2009.10.29	17:00:00	135.450	135.700	135.420	135.650	702	0	30
2009.10.29	18:00:00	135.660	135.920	135.590	135.760	918	0	30
2009.10.29	19:00:00	135.770	135.970	135.730	135.870	532	0	30
2009.10.29	20:00:00	135.860	135.880	135.610	135.640	790	0	30
2009.10.29	21:00:00	135.650	135.720	135.510	135.510	880	0	30
2009.10.29	22:00:00	135.520	135.740	135.510	135.690	401	0	30
2009.10.29	23:00:00	135.680	135.890	135.670	135.810	473	0	30
2009.10.30	00:00:00	135.819	135.918	135.663	135.782	2545	0	30
2009.10.30	01:00:00	135.781	135.793	135.386	135.516	3836	0	30
2009.10.30	02:00:00	135.517	135.737	135.405	135.723	3559	0	30
2009.10.30	03:00:00	135.724	135.746	135.492	135.526	3118	0	30
2009.10.30	04:00:00	135.525	135.685	135.502	135.605	2802	0	30
2009.10.30	05:00:00	135.604	135.617	135.244	135.304	2936	0	30
2009.10.30	06:00:00	135.303	135.363	134.952	134.990	3083	0	30
2009.10.30	07:00:00	134.988	135.018	134.727	134.966	3480	0	30
