<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.10.29	00:00:00	148.700	148.910	148.300	148.350	407	0	70
2009.10.29	01:00:00	148.360	148.560	147.790	148.070	1062	0	70
2009.10.29	02:00:00	148.080	148.430	147.940	147.940	606	0	70
2009.10.29	03:00:00	147.930	148.140	147.830	147.850	668	0	70
2009.10.29	04:00:00	147.860	147.910	147.650	147.900	690	0	70
2009.10.29	05:00:00	147.910	148.120	147.850	147.880	476	0	70
2009.10.29	06:00:00	147.870	148.270	147.850	148.150	758	0	70
2009.10.29	07:00:00	148.160	148.220	147.830	148.190	628	0	70
2009.10.29	08:00:00	148.200	149.040	148.190	148.830	1068	0	70
2009.10.29	09:00:00	148.840	149.170	148.530	148.910	1157	0	70
2009.10.29	10:00:00	148.900	149.280	148.880	149.110	902	0	70
2009.10.29	11:00:00	149.100	149.450	148.950	149.240	807	0	70
2009.10.29	12:00:00	149.250	149.540	149.180	149.390	768	0	70
2009.10.29	13:00:00	149.400	150.690	149.180	150.250	1236	0	70
2009.10.29	14:00:00	150.260	151.230	150.090	151.170	1341	0	70
2009.10.29	15:00:00	151.180	151.570	151.110	151.330	1118	0	70
2009.10.29	16:00:00	151.340	151.550	151.150	151.330	1138	0	70
2009.10.29	17:00:00	151.340	151.530	151.170	151.210	842	0	70
2009.10.29	18:00:00	151.220	151.560	151.130	151.490	844	0	70
2009.10.29	19:00:00	151.480	151.610	151.340	151.430	571	0	70
2009.10.29	20:00:00	151.440	151.440	151.130	151.170	511	0	70
2009.10.29	21:00:00	151.180	151.350	151.180	151.220	448	0	70
2009.10.29	22:00:00	151.210	151.520	151.200	151.460	362	0	70
2009.10.29	23:00:00	151.450	151.620	151.390	151.540	314	0	70
2009.10.30	00:00:00	151.541	151.709	151.324	151.524	2155	0	70
2009.10.30	01:00:00	151.518	151.519	151.012	151.247	3643	0	70
2009.10.30	02:00:00	151.249	151.531	151.099	151.529	3404	0	70
2009.10.30	03:00:00	151.530	151.530	151.159	151.183	2774	0	70
2009.10.30	04:00:00	151.187	151.377	151.169	151.309	2363	0	70
2009.10.30	05:00:00	151.308	151.326	150.777	150.841	2736	0	70
2009.10.30	06:00:00	150.843	150.943	150.424	150.515	2632	0	70
2009.10.30	07:00:00	150.516	150.578	150.234	150.327	3415	0	70
2009.10.30	08:00:00	150.329	150.974	150.276	150.729	4086	0	70
2009.10.30	09:00:00	150.730	150.783	150.288	150.436	4374	0	70
2009.10.30	10:00:00	150.438	150.728	150.359	150.394	4343	0	70
2009.10.30	11:00:00	150.392	150.584	150.128	150.375	4310	0	70
2009.10.30	12:00:00	150.378	150.764	150.273	150.631	4360	0	70
2009.10.30	13:00:00	150.638	150.977	150.359	150.608	4283	0	70
2009.10.30	14:00:00	150.610	150.769	150.244	150.315	5107	0	70
2009.10.30	15:00:00	150.313	150.569	150.192	150.475	5049	0	70
2009.10.30	16:00:00	150.474	150.478	148.561	149.101	5383	0	70
2009.10.30	17:00:00	149.103	149.616	148.474	148.477	5159	0	70
2009.10.30	18:00:00	148.476	148.670	147.796	147.934	4510	0	70
2009.10.30	19:00:00	147.930	148.232	147.783	147.981	3769	0	70
2009.10.30	20:00:00	147.975	147.991	147.750	147.753	3595	0	70
2009.10.30	21:00:00	147.754	148.189	147.630	148.182	3213	0	70
2009.10.30	22:00:00	148.187	148.187	148.183	148.183	2	0	70
2009.10.31	09:00:00	148.200	148.200	148.200	148.200	1	0	70
2009.11.02	00:00:00	146.961	147.526	146.723	147.196	4003	0	85
2009.11.02	01:00:00	147.201	148.202	147.181	148.057	4429	0	81
2009.11.02	02:00:00	148.056	148.089	147.578	147.607	3511	0	80
2009.11.02	03:00:00	147.610	147.977	147.529	147.765	2972	0	80
2009.11.02	04:00:00	147.764	148.501	147.745	148.348	2881	0	80
2009.11.02	05:00:00	148.352	148.503	148.089	148.146	2764	0	66
2009.11.02	06:00:00	148.145	148.333	147.984	148.297	2727	0	57
2009.11.02	07:00:00	148.294	148.371	148.071	148.316	2605	0	54
2009.11.02	08:00:00	148.309	148.318	147.674	147.870	3876	0	55
2009.11.02	09:00:00	147.872	148.082	147.304	147.854	4378	0	55
2009.11.02	10:00:00	147.857	147.969	147.427	147.898	4515	0	55
2009.11.02	11:00:00	147.897	148.268	147.539	147.553	4166	0	50
2009.11.02	12:00:00	147.558	147.558	147.060	147.166	4421	0	50
2009.11.02	13:00:00	147.168	147.298	146.957	147.266	4218	0	50
2009.11.02	14:00:00	147.268	147.445	147.139	147.234	4107	0	50
2009.11.02	15:00:00	147.231	147.574	147.026	147.574	4389	0	55
