<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.10.29	00:00:00	65.156	65.236	64.740	65.024	4039	0	80
2009.10.29	01:00:00	65.024	65.172	64.900	64.948	2964	0	80
2009.10.29	02:00:00	64.953	65.026	64.903	64.903	2702	0	80
2009.10.29	03:00:00	64.904	64.930	64.718	64.783	2957	0	80
2009.10.29	04:00:00	64.782	64.842	64.706	64.818	2217	0	80
2009.10.29	05:00:00	64.819	65.022	64.813	65.009	2491	0	80
2009.10.29	06:00:00	65.008	65.043	64.849	65.038	2322	0	80
2009.10.29	07:00:00	65.039	65.629	65.038	65.519	3648	0	80
2009.10.29	08:00:00	65.521	65.899	65.377	65.803	3980	0	80
2009.10.29	09:00:00	65.797	66.029	65.718	65.887	3279	0	80
2009.10.29	10:00:00	65.888	65.938	65.805	65.845	2732	0	80
2009.10.29	11:00:00	65.844	65.900	65.718	65.727	2891	0	80
2009.10.29	12:00:00	65.728	66.602	65.602	66.545	4081	0	80
2009.10.29	13:00:00	66.544	66.697	66.245	66.442	4504	0	80
2009.10.29	14:00:00	66.441	66.842	66.425	66.738	4264	0	80
2009.10.29	15:00:00	66.739	66.967	66.739	66.883	4091	0	80
2009.10.29	16:00:00	66.884	67.145	66.884	67.045	3174	0	80
2009.10.29	17:00:00	67.039	67.352	67.018	67.321	3178	0	80
2009.10.29	18:00:00	67.319	67.358	67.242	67.294	2314	0	80
2009.10.29	19:00:00	67.287	67.295	66.914	66.948	2578	0	80
2009.10.29	20:00:00	66.944	67.022	66.917	66.943	1588	0	80
2009.10.29	21:00:00	66.951	67.022	66.928	66.972	1229	0	80
2009.10.29	22:00:00	66.968	66.996	66.817	66.820	1428	0	80
2009.10.29	23:00:00	66.841	66.853	66.695	66.744	1846	0	80
2009.10.30	00:00:00	66.741	66.757	66.515	66.691	2696	0	80
2009.10.30	01:00:00	66.690	66.923	66.616	66.889	2655	0	80
2009.10.30	02:00:00	66.890	66.895	66.692	66.734	2114	0	80
2009.10.30	03:00:00	66.733	66.905	66.715	66.890	1828	0	80
2009.10.30	04:00:00	66.889	66.893	66.647	66.681	2144	0	80
2009.10.30	05:00:00	66.684	66.739	66.448	66.490	2058	0	80
2009.10.30	06:00:00	66.493	66.498	66.265	66.399	2667	0	80
2009.10.30	07:00:00	66.401	66.516	66.111	66.358	3106	0	80
2009.10.30	08:00:00	66.361	66.410	66.194	66.291	3722	0	80
2009.10.30	09:00:00	66.293	66.601	66.254	66.493	3379	0	80
2009.10.30	10:00:00	66.492	66.559	66.292	66.523	3114	0	80
2009.10.30	11:00:00	66.522	66.605	66.386	66.456	3278	0	80
2009.10.30	12:00:00	66.457	66.609	66.039	66.056	3422	0	80
2009.10.30	13:00:00	66.059	66.425	65.981	66.159	4469	0	80
2009.10.30	14:00:00	66.161	66.324	66.109	66.230	4084	0	80
2009.10.30	15:00:00	66.229	66.244	65.338	65.394	4674	0	80
2009.10.30	16:00:00	65.394	65.623	64.879	64.909	4470	0	80
2009.10.30	17:00:00	64.909	65.108	64.444	64.495	3902	0	80
2009.10.30	18:00:00	64.494	64.728	64.451	64.599	2934	0	80
2009.10.30	19:00:00	64.593	64.688	64.336	64.545	3078	0	80
2009.10.30	20:00:00	64.544	64.657	64.389	64.652	2428	0	80
2009.11.02	00:00:00	63.960	64.673	63.945	64.584	3336	0	80
2009.11.02	01:00:00	64.582	64.602	64.196	64.304	2588	0	80
2009.11.02	02:00:00	64.310	64.515	64.237	64.467	1909	0	80
2009.11.02	03:00:00	64.466	64.991	64.457	64.965	2512	0	80
2009.11.02	04:00:00	64.964	65.118	64.806	64.848	2226	0	80
2009.11.02	05:00:00	64.851	64.981	64.709	64.928	2450	0	80
2009.11.02	06:00:00	64.925	65.072	64.837	65.002	2192	0	80
2009.11.02	07:00:00	65.000	65.001	64.693	64.798	2957	0	80
2009.11.02	08:00:00	64.800	65.238	64.740	65.167	3676	0	80
2009.11.02	09:00:00	65.170	65.191	64.969	65.087	3465	0	80
2009.11.02	10:00:00	65.087	65.147	64.845	64.868	3011	0	80
2009.11.02	11:00:00	64.875	64.877	64.572	64.669	3441	0	80
2009.11.02	12:00:00	64.665	64.799	64.626	64.786	3170	0	80
2009.11.02	13:00:00	64.786	64.847	64.731	64.745	3366	0	80
2009.11.02	14:00:00	64.746	64.928	64.610	64.900	4109	0	80
2009.11.02	15:00:00	64.901	65.824	64.901	65.217	5005	0	80
2009.11.02	16:00:00	65.217	65.437	65.136	65.380	3820	0	80
2009.11.02	17:00:00	65.379	65.393	64.507	64.507	3529	0	80
2009.11.02	18:00:00	64.506	64.745	64.474	64.499	3633	0	80
2009.11.02	19:00:00	64.489	64.708	64.408	64.679	2668	0	80
2009.11.02	20:00:00	64.678	64.872	64.633	64.813	2349	0	80
2009.11.02	21:00:00	64.814	64.855	64.685	64.750	1349	0	80
2009.11.02	22:00:00	64.747	64.931	64.733	64.931	1156	0	80
2009.11.02	23:00:00	64.930	65.075	64.930	65.069	1071	0	80
2009.11.03	00:00:00	65.068	65.389	65.048	65.370	1843	0	80
2009.11.03	01:00:00	65.371	65.371	65.146	65.273	1789	0	80
2009.11.03	02:00:00	65.275	65.327	65.185	65.217	1048	0	80
2009.11.03	03:00:00	65.216	65.350	64.851	65.070	2374	0	80
2009.11.03	04:00:00	65.071	65.265	64.965	64.993	1927	0	80
2009.11.03	05:00:00	64.998	65.225	64.997	65.209	1821	0	80
2009.11.03	06:00:00	65.210	65.212	64.995	65.024	1750	0	80
2009.11.03	07:00:00	65.024	65.024	64.452	64.529	2885	0	80
2009.11.03	08:00:00	64.528	64.535	64.214	64.329	3110	0	80
2009.11.03	09:00:00	64.329	64.509	63.950	64.078	3602	0	80
2009.11.03	10:00:00	64.079	64.220	63.988	64.146	3799	0	80
2009.11.03	11:00:00	64.149	64.169	63.879	63.982	3232	0	80
2009.11.03	12:00:00	63.982	64.496	63.965	64.349	3327	0	80
2009.11.03	13:00:00	64.349	64.597	64.217	64.272	3619	0	80
2009.11.03	14:00:00	64.277	64.804	64.215	64.750	4378	0	80
2009.11.03	15:00:00	64.748	65.009	64.581	64.895	4916	0	80
2009.11.03	16:00:00	64.896	65.046	64.562	64.765	4359	0	80
2009.11.03	17:00:00	64.763	65.079	64.591	64.867	3326	0	80
2009.11.03	18:00:00	64.866	65.028	64.829	65.015	3108	0	80
2009.11.03	19:00:00	65.004	65.248	64.934	64.976	2563	0	80
2009.11.03	20:00:00	64.973	65.131	64.878	65.041	1851	0	80
2009.11.03	21:00:00	65.048	65.164	65.020	65.035	1710	0	80
2009.11.03	22:00:00	65.037	65.197	65.011	65.133	1222	0	80
2009.11.03	23:00:00	65.135	65.317	65.096	65.317	1288	0	80
2009.11.04	00:00:00	65.324	65.333	64.608	64.734	2501	0	80
2009.11.04	01:00:00	64.736	64.915	64.607	64.642	2223	0	80
2009.11.04	02:00:00	64.643	64.922	64.621	64.888	1818	0	80
2009.11.04	03:00:00	64.890	64.978	64.885	64.899	1294	0	80
2009.11.04	04:00:00	64.900	64.990	64.887	64.957	932	0	80
2009.11.04	05:00:00	64.966	65.099	64.966	64.993	1590	0	80
2009.11.04	06:00:00	64.991	65.190	64.978	65.130	2510	0	80
2009.11.04	07:00:00	65.130	65.455	65.081	65.317	3431	0	80
2009.11.04	08:00:00	65.316	65.751	65.284	65.674	3634	0	80
2009.11.04	09:00:00	65.669	65.937	65.615	65.893	3023	0	80
2009.11.04	10:00:00	65.892	66.032	65.832	65.890	2767	0	80
2009.11.04	11:00:00	65.897	65.914	65.653	65.721	2782	0	80
2009.11.04	12:00:00	65.722	65.813	65.684	65.730	2354	0	80
2009.11.04	13:00:00	65.732	66.065	65.679	65.950	3631	0	80
2009.11.04	14:00:00	65.952	66.006	65.781	65.890	3762	0	80
2009.11.04	15:00:00	65.892	65.906	65.641	65.761	4669	0	80
2009.11.04	16:00:00	65.760	65.941	65.724	65.910	3311	0	80
2009.11.04	17:00:00	65.906	65.949	65.780	65.919	2297	0	80
2009.11.04	18:00:00	65.917	65.996	65.812	65.989	1951	0	80
2009.11.04	19:00:00	65.977	66.403	65.824	66.213	4884	0	80
2009.11.04	20:00:00	66.212	66.214	65.735	65.750	3169	0	80
2009.11.04	21:00:00	65.749	65.948	65.487	65.663	2491	0	80
2009.11.04	22:00:00	65.659	65.756	65.642	65.751	1374	0	80
2009.11.04	23:00:00	65.753	65.753	65.438	65.454	1507	0	80
2009.11.05	00:00:00	65.450	65.450	65.169	65.236	3052	0	80
2009.11.05	01:00:00	65.233	65.243	64.985	65.167	2591	0	80
2009.11.05	02:00:00	65.168	65.215	65.086	65.148	2077	0	80
2009.11.05	03:00:00	65.147	65.160	64.795	64.987	2143	0	80
2009.11.05	04:00:00	64.986	65.040	64.966	65.004	1818	0	80
2009.11.05	05:00:00	65.010	65.263	65.002	65.212	2438	0	80
2009.11.05	06:00:00	65.210	65.258	64.779	64.805	2954	0	80
2009.11.05	07:00:00	64.804	64.918	64.662	64.865	3681	0	80
2009.11.05	08:00:00	64.859	65.010	64.643	64.684	3245	0	80
2009.11.05	09:00:00	64.684	65.050	64.583	64.887	3432	0	80
2009.11.05	10:00:00	64.890	64.972	64.782	64.958	2364	0	80
2009.11.05	11:00:00	64.956	65.048	64.751	64.790	2348	0	80
2009.11.05	12:00:00	64.792	65.411	64.783	65.301	4009	0	80
2009.11.05	13:00:00	65.303	65.514	65.133	65.410	3378	0	80
2009.11.05	14:00:00	65.411	65.508	65.124	65.368	3882	0	80
2009.11.05	15:00:00	65.367	65.418	65.159	65.298	3997	0	80
2009.11.05	16:00:00	65.298	65.356	64.930	64.970	3452	0	80
2009.11.05	17:00:00	64.969	65.252	64.961	65.223	2930	0	80
2009.11.05	18:00:00	65.222	65.430	65.207	65.401	2029	0	80
2009.11.05	19:00:00	65.390	65.488	65.280	65.439	1469	0	80
2009.11.05	20:00:00	65.440	65.477	65.385	65.441	1386	0	80
2009.11.05	21:00:00	65.440	65.544	65.381	65.405	1490	0	80
2009.11.05	22:00:00	65.399	65.468	65.362	65.400	1040	0	80
2009.11.05	23:00:00	65.401	65.549	65.365	65.477	1189	0	80
2009.11.06	00:00:00	65.479	65.503	65.203	65.295	2543	0	80
2009.11.06	01:00:00	65.296	65.346	65.205	65.236	1815	0	80
2009.11.06	02:00:00	65.237	65.321	65.226	65.278	1450	0	80
2009.11.06	03:00:00	65.277	65.470	65.272	65.464	1687	0	80
2009.11.06	04:00:00	65.465	65.540	65.428	65.459	1524	0	80
2009.11.06	05:00:00	65.460	65.516	65.450	65.473	1526	0	80
2009.11.06	06:00:00	65.474	65.480	65.208	65.354	2602	0	80
2009.11.06	07:00:00	65.360	65.628	65.356	65.610	3116	0	80
2009.11.06	08:00:00	65.618	65.850	65.539	65.840	2692	0	80
2009.11.06	09:00:00	65.841	65.841	65.628	65.710	2576	0	80
2009.11.06	10:00:00	65.709	65.725	65.607	65.633	2383	0	80
2009.11.06	11:00:00	65.634	65.713	65.575	65.670	2509	0	80
2009.11.06	12:00:00	65.668	65.670	65.539	65.563	2393	0	80
2009.11.06	13:00:00	65.564	65.658	64.844	65.038	4576	0	80
