<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.10.29	00:00:00	1.08010	1.08060	1.07960	1.08050	179	0	30
2009.10.29	01:00:00	1.08060	1.08200	1.08010	1.08120	310	0	30
2009.10.29	02:00:00	1.08110	1.08110	1.07860	1.07920	235	0	30
2009.10.29	03:00:00	1.07910	1.07930	1.07800	1.07850	134	0	30
2009.10.29	04:00:00	1.07840	1.07930	1.07840	1.07870	96	0	30
2009.10.29	05:00:00	1.07860	1.07910	1.07800	1.07840	83	0	30
2009.10.29	06:00:00	1.07830	1.07860	1.07800	1.07810	151	0	30
2009.10.29	07:00:00	1.07800	1.08030	1.07800	1.07920	160	0	30
2009.10.29	08:00:00	1.07930	1.07930	1.07580	1.07620	255	0	30
2009.10.29	09:00:00	1.07630	1.07780	1.07460	1.07640	489	0	30
2009.10.29	10:00:00	1.07650	1.07730	1.07490	1.07660	543	0	30
2009.10.29	11:00:00	1.07650	1.07900	1.07610	1.07730	325	0	30
2009.10.29	12:00:00	1.07720	1.07910	1.07690	1.07900	365	0	30
2009.10.29	13:00:00	1.07890	1.07980	1.07130	1.07210	740	0	30
2009.10.29	14:00:00	1.07200	1.07550	1.07120	1.07420	877	0	30
2009.10.29	15:00:00	1.07410	1.07460	1.06890	1.07170	812	0	30
2009.10.29	16:00:00	1.07180	1.07180	1.06730	1.07010	688	0	30
2009.10.29	17:00:00	1.07020	1.07050	1.06640	1.06890	527	0	30
2009.10.29	18:00:00	1.06900	1.06900	1.06540	1.06710	454	0	30
2009.10.29	19:00:00	1.06720	1.06780	1.06570	1.06600	339	0	30
2009.10.29	20:00:00	1.06590	1.06750	1.06550	1.06700	277	0	30
2009.10.29	21:00:00	1.06690	1.06790	1.06620	1.06630	199	0	30
2009.10.29	22:00:00	1.06620	1.06720	1.06620	1.06690	99	0	30
2009.10.29	23:00:00	1.06700	1.06710	1.06620	1.06680	101	0	30
2009.10.30	00:00:00	1.06681	1.06782	1.06650	1.06755	599	0	30
2009.10.30	01:00:00	1.06758	1.06850	1.06710	1.06801	1061	0	30
2009.10.30	02:00:00	1.06804	1.06822	1.06616	1.06659	1277	0	30
2009.10.30	03:00:00	1.06665	1.06812	1.06642	1.06765	901	0	30
2009.10.30	04:00:00	1.06767	1.06769	1.06592	1.06635	763	0	30
2009.10.30	05:00:00	1.06634	1.06723	1.06611	1.06661	672	0	30
