<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.10.29	00:00:00	1.02640	1.02650	1.02530	1.02640	232	0	40
2009.10.29	01:00:00	1.02630	1.02850	1.02590	1.02700	459	0	40
2009.10.29	02:00:00	1.02710	1.02760	1.02650	1.02700	290	0	40
2009.10.29	03:00:00	1.02710	1.02720	1.02580	1.02580	234	0	40
2009.10.29	04:00:00	1.02590	1.02650	1.02540	1.02590	209	0	40
2009.10.29	05:00:00	1.02580	1.02610	1.02530	1.02550	212	0	40
2009.10.29	06:00:00	1.02540	1.02550	1.02500	1.02500	259	0	40
2009.10.29	07:00:00	1.02510	1.02710	1.02490	1.02670	174	0	40
2009.10.29	08:00:00	1.02660	1.02670	1.02430	1.02520	327	0	40
2009.10.29	09:00:00	1.02510	1.02590	1.02380	1.02440	472	0	40
2009.10.29	10:00:00	1.02450	1.02470	1.02300	1.02410	434	0	40
2009.10.29	11:00:00	1.02400	1.02450	1.02330	1.02430	319	0	40
2009.10.29	12:00:00	1.02420	1.02560	1.02390	1.02550	312	0	40
2009.10.29	13:00:00	1.02540	1.02600	1.02080	1.02100	688	0	40
2009.10.29	14:00:00	1.02090	1.02250	1.01980	1.02160	560	0	40
2009.10.29	15:00:00	1.02150	1.02190	1.02010	1.02120	476	0	40
2009.10.29	16:00:00	1.02130	1.02130	1.01820	1.01930	531	0	40
2009.10.29	17:00:00	1.01920	1.01930	1.01680	1.01740	339	0	40
2009.10.29	18:00:00	1.01750	1.01850	1.01700	1.01840	266	0	40
2009.10.29	19:00:00	1.01830	1.01840	1.01660	1.01780	258	0	40
2009.10.29	20:00:00	1.01790	1.01890	1.01750	1.01880	212	0	40
2009.10.29	21:00:00	1.01870	1.01900	1.01800	1.01880	188	0	40
2009.10.29	22:00:00	1.01870	1.01880	1.01780	1.01830	224	0	40
2009.10.29	23:00:00	1.01820	1.01840	1.01790	1.01810	120	0	40
2009.10.30	00:00:00	1.01815	1.01847	1.01763	1.01820	1069	0	40
2009.10.30	01:00:00	1.01822	1.01883	1.01766	1.01856	2313	0	40
2009.10.30	02:00:00	1.01855	1.01870	1.01770	1.01788	2292	0	40
2009.10.30	03:00:00	1.01784	1.01818	1.01733	1.01796	1588	0	40
2009.10.30	04:00:00	1.01795	1.01799	1.01712	1.01724	1697	0	40
2009.10.30	05:00:00	1.01725	1.01750	1.01699	1.01746	1770	0	40
2009.10.30	06:00:00	1.01745	1.01830	1.01708	1.01828	1867	0	40
2009.10.30	07:00:00	1.01826	1.01894	1.01800	1.01819	1353	0	40
2009.10.30	08:00:00	1.01820	1.01928	1.01807	1.01847	2376	0	40
2009.10.30	09:00:00	1.01846	1.02006	1.01815	1.01843	2292	0	40
2009.10.30	10:00:00	1.01844	1.01889	1.01719	1.01730	2439	0	40
2009.10.30	11:00:00	1.01731	1.01786	1.01563	1.01685	2650	0	40
2009.10.30	12:00:00	1.01686	1.02365	1.01669	1.02274	3134	0	40
2009.10.30	13:00:00	1.02272	1.02320	1.02094	1.02289	2875	0	40
2009.10.30	14:00:00	1.02287	1.02310	1.02086	1.02221	3542	0	40
2009.10.30	15:00:00	1.02225	1.02597	1.02158	1.02466	3746	0	40
2009.10.30	16:00:00	1.02463	1.02749	1.02382	1.02387	3792	0	40
2009.10.30	17:00:00	1.02388	1.02662	1.02264	1.02566	3510	0	40
2009.10.30	18:00:00	1.02564	1.02573	1.02378	1.02440	2649	0	40
2009.10.30	19:00:00	1.02438	1.02550	1.02345	1.02492	2214	0	40
2009.10.30	20:00:00	1.02491	1.02599	1.02420	1.02581	2098	0	40
2009.10.30	21:00:00	1.02582	1.02656	1.02547	1.02624	1615	0	40
2009.10.30	22:00:00	1.02623	1.02623	1.02623	1.02623	1	0	40
2009.10.31	09:00:00	1.02620	1.02620	1.02620	1.02620	1	0	40
2009.11.02	00:00:00	1.02421	1.02669	1.02363	1.02654	2210	0	28
2009.11.02	01:00:00	1.02652	1.02652	1.02396	1.02458	2918	0	27
2009.11.02	02:00:00	1.02460	1.02542	1.02442	1.02453	2524	0	27
2009.11.02	03:00:00	1.02452	1.02478	1.02361	1.02393	1681	0	26
2009.11.02	04:00:00	1.02393	1.02393	1.02221	1.02221	1431	0	26
2009.11.02	05:00:00	1.02219	1.02259	1.02162	1.02242	1651	0	26
2009.11.02	06:00:00	1.02240	1.02280	1.02125	1.02155	1681	0	22
2009.11.02	07:00:00	1.02157	1.02321	1.02134	1.02276	1354	0	22
2009.11.02	08:00:00	1.02274	1.02492	1.02269	1.02418	2145	0	16
2009.11.02	09:00:00	1.02417	1.02425	1.02134	1.02161	2608	0	15
2009.11.02	10:00:00	1.02160	1.02259	1.02082	1.02181	2788	0	10
2009.11.02	11:00:00	1.02180	1.02232	1.02119	1.02212	2565	0	14
2009.11.02	12:00:00	1.02216	1.02255	1.02015	1.02103	2840	0	10
2009.11.02	13:00:00	1.02102	1.02197	1.02062	1.02149	2664	0	14
2009.11.02	14:00:00	1.02148	1.02361	1.02126	1.02317	2816	0	10
2009.11.02	15:00:00	1.02321	1.02419	1.02033	1.02033	3051	0	14
2009.11.02	16:00:00	1.02035	1.02035	1.01645	1.01844	3832	0	16
2009.11.02	17:00:00	1.01842	1.01875	1.01720	1.01775	2533	0	17
2009.11.02	18:00:00	1.01774	1.02252	1.01746	1.02252	2363	0	17
2009.11.02	19:00:00	1.02254	1.02448	1.02116	1.02430	2686	0	17
2009.11.02	20:00:00	1.02429	1.02472	1.02182	1.02329	2537	0	21
2009.11.02	21:00:00	1.02330	1.02353	1.02188	1.02219	2241	0	23
2009.11.02	22:00:00	1.02222	1.02232	1.02136	1.02158	1011	0	25
2009.11.02	23:00:00	1.02157	1.02244	1.02152	1.02158	963	0	27
2009.11.03	00:00:00	1.02155	1.02214	1.02147	1.02196	737	0	25
2009.11.03	01:00:00	1.02195	1.02199	1.01944	1.02053	1842	0	26
2009.11.03	02:00:00	1.02052	1.02118	1.01995	1.02042	1777	0	27
2009.11.03	03:00:00	1.02041	1.02109	1.02022	1.02071	1381	0	26
2009.11.03	04:00:00	1.02069	1.02227	1.02025	1.02170	2024	0	27
2009.11.03	05:00:00	1.02171	1.02202	1.02099	1.02135	2152	0	26
2009.11.03	06:00:00	1.02132	1.02153	1.02063	1.02074	1725	0	25
2009.11.03	07:00:00	1.02073	1.02145	1.01986	1.02138	1440	0	24
2009.11.03	08:00:00	1.02141	1.02351	1.02141	1.02285	2331	0	19
2009.11.03	09:00:00	1.02282	1.02534	1.02279	1.02519	2696	0	16
2009.11.03	10:00:00	1.02521	1.03012	1.02398	1.02944	3160	0	17
2009.11.03	11:00:00	1.02942	1.03309	1.02942	1.03249	3024	0	16
2009.11.03	12:00:00	1.03250	1.03374	1.03193	1.03324	2642	0	15
2009.11.03	13:00:00	1.03323	1.03361	1.03128	1.03204	2766	0	17
2009.11.03	14:00:00	1.03205	1.03219	1.03042	1.03128	2938	0	16
2009.11.03	15:00:00	1.03129	1.03287	1.03088	1.03148	3252	0	15
2009.11.03	16:00:00	1.03149	1.03248	1.02784	1.02934	4147	0	16
2009.11.03	17:00:00	1.02933	1.03240	1.02890	1.03063	2971	0	17
2009.11.03	18:00:00	1.03062	1.03128	1.02802	1.02861	2437	0	17
2009.11.03	19:00:00	1.02860	1.02920	1.02654	1.02662	2285	0	17
2009.11.03	20:00:00	1.02660	1.02730	1.02505	1.02730	2306	0	23
2009.11.03	21:00:00	1.02731	1.02741	1.02604	1.02671	1800	0	21
2009.11.03	22:00:00	1.02672	1.02673	1.02514	1.02574	1167	0	23
2009.11.03	23:00:00	1.02575	1.02679	1.02561	1.02625	1036	0	29
2009.11.04	00:00:00	1.02624	1.02630	1.02524	1.02537	850	0	26
2009.11.04	01:00:00	1.02536	1.02757	1.02531	1.02673	1984	0	27
2009.11.04	02:00:00	1.02672	1.02733	1.02588	1.02711	1949	0	25
2009.11.04	03:00:00	1.02713	1.02721	1.02603	1.02612	1291	0	25
2009.11.04	04:00:00	1.02613	1.02625	1.02576	1.02603	1688	0	27
2009.11.04	05:00:00	1.02604	1.02605	1.02548	1.02575	1387	0	25
2009.11.04	06:00:00	1.02574	1.02633	1.02569	1.02617	1610	0	15
2009.11.04	07:00:00	1.02616	1.02629	1.02457	1.02503	1768	0	22
2009.11.04	08:00:00	1.02501	1.02587	1.02427	1.02477	2325	0	16
2009.11.04	09:00:00	1.02481	1.02517	1.02253	1.02312	2638	0	15
2009.11.04	10:00:00	1.02310	1.02401	1.02279	1.02400	2472	0	35
2009.11.04	11:00:00	1.02405	1.02456	1.02325	1.02367	2137	0	35
2009.11.04	12:00:00	1.02368	1.02504	1.02312	1.02376	2519	0	17
2009.11.04	13:00:00	1.02374	1.02506	1.02286	1.02465	2062	0	15
2009.11.04	14:00:00	1.02467	1.02488	1.02102	1.02236	2962	0	10
2009.11.04	15:00:00	1.02237	1.02237	1.02001	1.02030	3178	0	15
2009.11.04	16:00:00	1.02029	1.02097	1.01733	1.01825	3553	0	14
2009.11.04	17:00:00	1.01824	1.01846	1.01738	1.01825	2437	0	15
2009.11.04	18:00:00	1.01827	1.01841	1.01706	1.01747	1721	0	17
2009.11.04	19:00:00	1.01747	1.01803	1.01695	1.01754	1602	0	17
2009.11.04	20:00:00	1.01753	1.01829	1.01272	1.01384	4695	0	25
2009.11.04	21:00:00	1.01383	1.01570	1.01377	1.01564	2809	0	25
2009.11.04	22:00:00	1.01563	1.01600	1.01438	1.01595	1870	0	20
2009.11.04	23:00:00	1.01596	1.01598	1.01448	1.01484	1304	0	27
2009.11.05	00:00:00	1.01486	1.01600	1.01486	1.01556	968	0	27
2009.11.05	01:00:00	1.01565	1.01719	1.01471	1.01719	2348	0	25
2009.11.05	02:00:00	1.01721	1.01833	1.01679	1.01773	2193	0	20
2009.11.05	03:00:00	1.01775	1.01790	1.01639	1.01674	1785	0	25
2009.11.05	04:00:00	1.01673	1.01803	1.01670	1.01751	1673	0	20
2009.11.05	05:00:00	1.01749	1.01754	1.01673	1.01683	1917	0	25
2009.11.05	06:00:00	1.01684	1.01718	1.01570	1.01635	2360	0	15
2009.11.05	07:00:00	1.01622	1.01877	1.01593	1.01865	2250	0	15
2009.11.05	08:00:00	1.01868	1.01926	1.01762	1.01786	2590	0	10
2009.11.05	09:00:00	1.01788	1.01921	1.01733	1.01897	2729	0	14
2009.11.05	10:00:00	1.01905	1.01910	1.01620	1.01751	2727	0	14
2009.11.05	11:00:00	1.01753	1.01807	1.01695	1.01779	2582	0	15
2009.11.05	12:00:00	1.01778	1.01791	1.01705	1.01773	2033	0	15
2009.11.05	13:00:00	1.01775	1.01858	1.01539	1.01647	2868	0	16
2009.11.05	14:00:00	1.01646	1.01687	1.01319	1.01509	2962	0	15
2009.11.05	15:00:00	1.01508	1.01717	1.01450	1.01581	3184	0	16
2009.11.05	16:00:00	1.01583	1.01679	1.01453	1.01504	2966	0	14
2009.11.05	17:00:00	1.01505	1.01733	1.01478	1.01697	2596	0	14
2009.11.05	18:00:00	1.01696	1.01810	1.01692	1.01725	2195	0	18
2009.11.05	19:00:00	1.01724	1.01767	1.01645	1.01686	1965	0	19
2009.11.05	20:00:00	1.01685	1.01715	1.01632	1.01648	1453	0	23
2009.11.05	21:00:00	1.01647	1.01678	1.01594	1.01610	1590	0	24
2009.11.05	22:00:00	1.01608	1.01693	1.01568	1.01605	1353	0	22
2009.11.05	23:00:00	1.01606	1.01648	1.01595	1.01611	732	0	27
2009.11.06	00:00:00	1.01612	1.01640	1.01564	1.01586	1014	0	26
2009.11.06	01:00:00	1.01587	1.01721	1.01579	1.01661	2578	0	26
2009.11.06	02:00:00	1.01659	1.01706	1.01627	1.01693	1592	0	27
2009.11.06	03:00:00	1.01694	1.01698	1.01618	1.01654	1236	0	26
2009.11.06	04:00:00	1.01656	1.01661	1.01586	1.01586	1390	0	27
2009.11.06	05:00:00	1.01587	1.01624	1.01554	1.01596	1455	0	24
2009.11.06	06:00:00	1.01600	1.01607	1.01540	1.01547	1445	0	15
