<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.10.29	00:00:00	1.40317	1.40439	1.40286	1.40438	212	0	0
2009.10.29	01:00:00	1.40445	1.40528	1.40303	1.40366	1020	0	0
2009.10.29	02:00:00	1.40374	1.40382	1.40213	1.40265	1024	0	0
2009.10.29	03:00:00	1.40266	1.40276	1.40153	1.40224	629	0	0
2009.10.29	04:00:00	1.40223	1.40398	1.40220	1.40346	516	0	0
2009.10.29	05:00:00	1.40346	1.40352	1.40218	1.40218	288	0	0
2009.10.29	06:00:00	1.40220	1.40268	1.40155	1.40157	512	0	0
2009.10.29	07:00:00	1.40154	1.40282	1.40078	1.40211	738	0	0
2009.10.29	08:00:00	1.40209	1.40211	1.40022	1.40057	750	0	0
2009.10.29	09:00:00	1.40070	1.40110	1.39916	1.39957	1167	0	0
2009.10.29	10:00:00	1.39957	1.40025	1.39858	1.39988	801	0	0
2009.10.29	11:00:00	1.39989	1.40086	1.39907	1.39945	501	0	0
2009.10.29	12:00:00	1.39950	1.40020	1.39804	1.39960	698	0	0
2009.10.29	13:00:00	1.39962	1.40031	1.39700	1.39700	974	0	0
2009.10.29	14:00:00	1.39700	1.39884	1.39591	1.39860	1272	0	0
2009.10.29	15:00:00	1.39858	1.39860	1.39689	1.39778	646	0	0
2009.10.29	16:00:00	1.39773	1.39799	1.39666	1.39799	909	0	0
2009.10.29	17:00:00	1.39802	1.39805	1.39705	1.39773	424	0	0
2009.10.29	18:00:00	1.39777	1.39790	1.39745	1.39780	162	0	0
2009.10.29	19:00:00	1.39765	1.39793	1.39696	1.39730	203	0	0
2009.10.29	20:00:00	1.39715	1.39725	1.39687	1.39717	154	0	0
2009.10.29	21:00:00	1.39705	1.39755	1.39705	1.39713	90	0	0
2009.10.29	22:00:00	1.39711	1.39740	1.39701	1.39708	23	0	0
2009.10.29	23:00:00	1.39707	1.39770	1.39690	1.39744	187	0	0
2009.10.30	00:00:00	1.39789	1.39812	1.39634	1.39648	638	0	0
2009.10.30	01:00:00	1.39652	1.39802	1.39603	1.39680	674	0	0
2009.10.30	02:00:00	1.39690	1.39778	1.39595	1.39620	530	0	0
2009.10.30	03:00:00	1.39635	1.39655	1.39590	1.39611	609	0	0
2009.10.30	04:00:00	1.39609	1.39626	1.39507	1.39616	596	0	0
2009.10.30	05:00:00	1.39613	1.39621	1.39516	1.39605	172	0	0
2009.10.30	06:00:00	1.39625	1.39667	1.39593	1.39664	300	0	0
2009.10.30	07:00:00	1.39673	1.39710	1.39604	1.39629	462	0	0
2009.10.30	08:00:00	1.39640	1.39710	1.39625	1.39663	433	0	0
2009.10.30	09:00:00	1.39663	1.39776	1.39615	1.39644	881	0	0
2009.10.30	10:00:00	1.39644	1.39793	1.39532	1.39743	870	0	0
2009.10.30	11:00:00	1.39740	1.39753	1.39604	1.39670	345	0	0
2009.10.30	12:00:00	1.39680	1.39830	1.39673	1.39807	340	0	0
2009.10.30	13:00:00	1.39810	1.39853	1.39738	1.39846	613	0	0
2009.10.30	14:00:00	1.39853	1.39860	1.39675	1.39745	432	0	0
2009.10.30	15:00:00	1.39743	1.39920	1.39670	1.39800	820	0	0
2009.10.30	16:00:00	1.39810	1.39946	1.39739	1.39811	714	0	0
2009.10.30	17:00:00	1.39807	1.40024	1.39755	1.39975	548	0	0
2009.10.30	18:00:00	1.39969	1.40046	1.39940	1.40013	307	0	0
2009.10.30	19:00:00	1.40010	1.40060	1.40002	1.40040	148	0	0
2009.10.30	20:00:00	1.40030	1.40142	1.40025	1.40116	447	0	0
2009.10.30	21:00:00	1.40115	1.40188	1.39911	1.39990	355	0	0
2009.11.02	00:00:00	1.40290	1.40348	1.40201	1.40343	368	0	0
2009.11.02	01:00:00	1.40345	1.40350	1.39989	1.40038	438	0	0
2009.11.02	02:00:00	1.40038	1.40243	1.40034	1.40161	404	0	0
2009.11.02	03:00:00	1.40164	1.40173	1.40036	1.40071	361	0	0
2009.11.02	04:00:00	1.40070	1.40076	1.39984	1.39996	420	0	0
2009.11.02	05:00:00	1.39992	1.40015	1.39911	1.40004	230	0	0
2009.11.02	06:00:00	1.40007	1.40050	1.39831	1.39888	386	0	0
2009.11.02	07:00:00	1.39882	1.39937	1.39872	1.39929	366	0	0
2009.11.02	08:00:00	1.39936	1.40001	1.39857	1.39867	595	0	0
2009.11.02	09:00:00	1.39871	1.39901	1.39705	1.39797	995	0	0
2009.11.02	10:00:00	1.39794	1.39913	1.39736	1.39840	512	0	0
2009.11.02	11:00:00	1.39838	1.39940	1.39825	1.39930	312	0	0
2009.11.02	12:00:00	1.39931	1.39940	1.39840	1.39897	372	0	0
2009.11.02	13:00:00	1.39900	1.39907	1.39877	1.39890	94	0	0
2009.11.02	14:00:00	1.39893	1.39930	1.39885	1.39900	261	0	0
2009.11.02	15:00:00	1.39905	1.39923	1.39805	1.39830	310	0	0
2009.11.02	16:00:00	1.39826	1.39826	1.39627	1.39674	586	0	0
2009.11.02	17:00:00	1.39674	1.39693	1.39625	1.39660	410	0	0
